θtrue,gitcommit,sig-α,sig-β,obs_model,known,obs_params,path,sig-S₀
"(S₀ = 0.6, β = 1.25, α = 0.2)",ef7d42de1afa371937a5a1e5ccbf8474b228788e,"Any[2.0926810405546373e-5, 8.483850765752251e-5, 0.0002863564950937802, 0.00034221235368732205, 0.0004916286263461336, 0.0006887448146392925, 0.0010749376871878344, 0.0013853425959524188, 0.0008036196850965869, 0.0019319753074116732, 0.0021743640674428888, 0.0028249480172481563, 0.0037682357214413134, 0.003731538514149212, 0.004011590526812937]",missing,neg_binom,Set([:β]),"(r = 10, n = 10)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:β]) || obs_model=neg_binom || obs_params=(r=10, n=10) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-1.2617986195592474e-5, 0.00010042343447221791, 0.0027077813066343393, 0.004105890764624223, 0.00597559732541225, 0.0056609497586237074, 0.005906994378988659, 0.005467132968109271, 0.006601781999456288, 0.0066686040989640755, 0.0063585280770332995, 0.006236888942380974, 0.006020642101166523, 0.006476408596092962, 0.00677797753498092]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",ef7d42de1afa371937a5a1e5ccbf8474b228788e,"Any[-2.1523215167364737e-5, 0.0002248981228676626, 0.00037170199213582385, 0.00032955599419400955, 0.0007732821344112495, 0.0011455966849967189, 0.002492097699508063, 0.0033770007590910385, 0.005422592998713056, 0.006702748928553567, 0.008612449062638316, 0.010243582229935209, 0.010377406011060134, 0.010153566984403188, 0.010884161359734038]",missing,neg_binom,Set([:β]),"(r = 10, n = 100)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:β]) || obs_model=neg_binom || obs_params=(r=10, n=100) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[0.0005336009233089137, 0.006484128671068259, 0.010937811814918845, 0.012163705952419678, 0.010910849163807955, 0.010569615420499643, 0.010210354165582601, 0.010505484820864457, 0.012983854976751048, 0.013507910507792317, 0.012735653487043669, 0.015381324938441845, 0.013765710494903502, 0.014048466730444445, 0.013700850592120704]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",ef7d42de1afa371937a5a1e5ccbf8474b228788e,"Any[9.466668462060641e-6, 0.0003388474446476624, 0.00031903870979720555, 0.0003931611857705238, 0.0005570051723216303, 0.001329720505020285, 0.0039695735142429665, 0.0054261063607200415, 0.008550324776196635, 0.010645222129697898, 0.0119571722320535, 0.014044762789329814, 0.01595661704441512, 0.015490947983305494, 0.016523020818023194]",missing,neg_binom,Set([:β]),"(r = 10, n = 1000)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:β]) || obs_model=neg_binom || obs_params=(r=10, n=1000) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[0.003414137336158743, 0.009737496341369648, 0.011813952310950497, 0.012004615209820069, 0.011553641646678612, 0.011861572766169863, 0.010588671997946313, 0.01266082791618473, 0.012996302185621514, 0.015361888162051297, 0.015506282748704288, 0.01691190706149399, 0.016912142688125218, 0.017989686933875107, 0.019313968751660946]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",e5e2befed309f0b8350bfdd28a7d5bd028b6c78f-dirty,"Any[-0.0007987518582118682, 0.011223913224856868, 0.02540665235926439, 0.038586007018455805, 0.05156858637026173, 0.0672069506368885, 0.09191936982492643, 0.12869196877886283, 0.1765094333702611, 0.22307857817695373, 0.280576046123196, 0.3259927303596639, 0.363087420417256, 0.39516025800089905, 0.41091003548036475]",missing,poisson,Set([:β]),"(n = 10,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:β]) || obs_model=poisson || obs_params=(n=10,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[0.001692600200553779, 0.07278042150748018, 0.30310220613194505, 0.5272105800117631, 0.6040438112176288, 0.6279418111823227, 0.6141318522277263, 0.6126752142313993, 0.615486754085861, 0.6242230246542476, 0.6533260961060442, 0.6692423482469859, 0.6914174051028483, 0.7136753600078148, 0.7121221632313275]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",e5e2befed309f0b8350bfdd28a7d5bd028b6c78f-dirty,"Any[0.0033934911430438456, 0.02884321888740239, 0.029759384277509914, 0.028573596802218673, 0.06959631407241561, 0.21235289069341737, 0.472162188174865, 0.6841169831061272, 0.8563789021819584, 0.9875288825972314, 1.0903206978443774, 1.147311061050635, 1.219718988567441, 1.2600134445647282, 1.2954671491416725]",missing,poisson,Set([:β]),"(n = 100,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:β]) || obs_model=poisson || obs_params=(n=100,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[0.08823207011697531, 0.7717071755046793, 1.151799802050033, 1.1523797290778193, 1.0924810419497115, 1.1500719889870914, 1.2958463120729833, 1.4097425189161286, 1.5434204782568905, 1.6047872890548884, 1.660153182718156, 1.69554295472944, 1.7153970350219292, 1.7352663114429616, 1.7442505359561902]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",e5e2befed309f0b8350bfdd28a7d5bd028b6c78f-dirty,"Any[0.026260079912113907, -0.01805639153987996, -0.06023026507356455, -0.016547969026228345, 0.453749337991356, 0.9926881560539889, 1.3585113755693163, 1.64640968607485, 1.8694629384206563, 2.0279495391753635, 2.1315666193700404, 2.2265106596132225, 2.296027851151093, 2.3537952628153427, 2.376296699417197]",missing,poisson,Set([:β]),"(n = 1000,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:β]) || obs_model=poisson || obs_params=(n=1000,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[0.8399368755532819, 1.313714275629851, 1.2462144600771365, 1.1765414976527104, 1.5434217473434186, 1.9620447694147443, 2.2383210661533357, 2.435750606550667, 2.5700606392355665, 2.6849124861208247, 2.7388849098087276, 2.791544086732277, 2.8295293693161265, 2.8351584541815487, 2.8613899321803773]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",ef7d42de1afa371937a5a1e5ccbf8474b228788e,"Any[9.718667878452976e-5, 0.00016888644088935444, 0.00018451701341212868, -7.025439265956482e-5, -0.000168346983807977, -0.0002547783911831811, -0.0005010591553563154, -0.00024101302877079552, -0.0003845393090000043, -0.00043879228658491874, 0.0010831849779145025, 0.00103356502010155, 0.002025586390788228, 0.0015381420647530915, 0.0020132440707634116]","Any[0.0005960943197207085, 0.0012155941507483317, 0.0014695068632823286, 0.00160543447111047, 0.002130901605300703, 0.003217137226688645, 0.0036411185264982483, 0.002964726247221118, 0.003488451945272639, 0.0035862000366052513, 0.003136207833535239, 0.004184352860725508, 0.0038944414934598665, 0.004284939484780938, 0.003738487520865879]",neg_binom,Set{Symbol}(),"(r = 1, n = 10)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set{Symbol}() || obs_model=neg_binom || obs_params=(r=1, n=10) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[0.00014105053984709795, -0.000760316135613504, 0.0007294897835403082, 0.001140836709407008, 0.0019082281994337391, 0.0018558881262423956, 0.0022234963457457395, 0.0031084770997133536, 0.0025407923196688444, 0.002559952521424278, 0.0021929212195064534, 0.0018962012429065086, 0.002256974426631172, 0.0020873007705894692, 0.0024646058526930116]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",ef7d42de1afa371937a5a1e5ccbf8474b228788e,"Any[0.0001351601928250105, 0.0001686605742199883, 0.000138294393725595, 5.912908654412445e-5, -2.2536458168366618e-5, -0.0005752050238599698, -0.0002590165227642105, -0.00025526280713025605, 0.00030780865166120847, 0.0002825302219559666, 0.00039343296606141997, 0.0009839293656346208, 0.002102944805501133, 0.0023612765318906897, 0.0028927226941512724]","Any[0.000936776206718285, 0.0022222047343814022, 0.0027461198887123975, 0.0029372273618150243, 0.0029547416670147094, 0.0032727205312779984, 0.004244147859031582, 0.003210529516357827, 0.004248373032685218, 0.005381626012107856, 0.005243508779104954, 0.005126264767745749, 0.004565008620560185, 0.005202712268108805, 0.008112666572219762]",neg_binom,Set{Symbol}(),"(r = 1, n = 100)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set{Symbol}() || obs_model=neg_binom || obs_params=(r=1, n=100) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-0.00043749594042293954, 0.00010848501586400476, 0.001119649757448812, 0.0022448461456029208, 0.0031677103913697094, 0.003818352942045207, 0.003073472930448676, 0.0035651123746348397, 0.0030701196793339993, 0.002501308449008638, 0.0035627817768461973, 0.0032146730883086186, 0.002448702894043518, 0.002850383421080977, 0.0025922454039623284]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",ef7d42de1afa371937a5a1e5ccbf8474b228788e,"Any[0.00014579953232869003, 0.00010845902096949208, 7.368377310729826e-5, 1.1741533780990446e-6, -0.0001226366537526973, 6.367794145869373e-6, -0.0007207687728713718, -5.5792061606335725e-5, -0.00024423341020439677, 9.483888362741825e-5, 0.0007834444557951313, 0.001693595836842464, 0.0017464476857387118, 0.002415781263267468, 0.002580711827269611]","Any[0.0006473409373181553, 0.00262301632561344, 0.0025290215356199336, 0.002929834748644171, 0.0028040944578504763, 0.002980766241089821, 0.003883474863396382, 0.003601403260473184, 0.00537929968146737, 0.005437801330261355, 0.005567535638976018, 0.0054873160584191965, 0.00684670978203891, 0.006374760593868117, 0.006435294748397767]",neg_binom,Set{Symbol}(),"(r = 1, n = 1000)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set{Symbol}() || obs_model=neg_binom || obs_params=(r=1, n=1000) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-0.00043101599657416583, 2.0511811052456695e-5, 0.000768118848515003, 0.0017833088340835754, 0.0018372978202043128, 0.002344050757543, 0.003402719668458699, 0.0024086812438842684, 0.0028409596592417737, 0.002959910874013881, 0.002204679123807938, 0.0028021304911384996, 0.0035794639621904607, 0.001641606022415388, 0.00289455601725032]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",ef7d42de1afa371937a5a1e5ccbf8474b228788e,"Any[0.00016655102797875877, 0.0003395533295787396, 0.0002591462809929983, 0.00018412469550309633, -0.00012796804577477116, -2.4748657552131624e-7, -4.269327361762376e-5, 0.0005395128002606447, -0.00028327132609310215, 0.0009520846062068324, 0.0013383493413199432, 0.0016942385845685613, 0.002345008669851312, 0.0022946184367297565, 0.0026170171250688317]","Any[0.000965768323468943, 0.0020389911527622048, 0.00231770685194076, 0.003597354803489532, 0.0033218488758314972, 0.004494238797062593, 0.004365150721034755, 0.0043722891963443615, 0.0046582307560631055, 0.004797248045001342, 0.005285731891037684, 0.005183839472323869, 0.005154974990991737, 0.0058851271829782476, 0.005113693529215731]",neg_binom,Set{Symbol}(),"(r = 10, n = 10)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set{Symbol}() || obs_model=neg_binom || obs_params=(r=10, n=10) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-0.0005382566758407694, -0.0013970010607157208, -6.988685144422102e-5, 0.0009613634573263165, 0.0021822142961134164, 0.0029587178921484034, 0.00295994168707506, 0.0026256308352862437, 0.0022892320459576847, 0.0022905794675311866, 0.002448581498397567, 0.0022551387293001093, 0.0028917609219022964, 0.002298706512455966, 0.002925323320097359]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",ef7d42de1afa371937a5a1e5ccbf8474b228788e,"Any[0.00023038523540440744, 0.0002725063841307777, 0.0003426614151470767, 0.0004576912965308644, 8.31181092166536e-5, 0.0004071290962095896, 0.0003631329300044343, 0.0009277461973345605, 0.0017729614995855493, 0.0012770681277844674, 0.003787311715807514, 0.002704003155427184, 0.0038878442592131805, 0.004417409145104801, 0.004405168137312671]","Any[0.002840825535154005, 0.004330952747752104, 0.004260175373503757, 0.004424812792099648, 0.0065682204525535776, 0.008081157260861796, 0.007106582305407156, 0.007886731421088618, 0.009622720362214876, 0.008003741408984731, 0.008427277204367515, 0.008643316366910675, 0.009586602590266573, 0.009149080034415533, 0.009907086267955886]",neg_binom,Set{Symbol}(),"(r = 10, n = 100)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set{Symbol}() || obs_model=neg_binom || obs_params=(r=10, n=100) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-0.0007950919190582759, -0.00010391276100579335, 0.00048553495649328787, 0.0015974938374871703, 0.002929160621450866, 0.0028995940597630523, 0.0029300503287383044, 0.003341452240272049, 0.002941761442652705, 0.003670061593708861, 0.004256273663134644, 0.004037042909736086, 0.004259185597668301, 0.005363800157510495, 0.005870197280399991]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",ef7d42de1afa371937a5a1e5ccbf8474b228788e,"Any[0.00024036041471561686, 0.0003843730482850699, 0.00046189549093287436, 0.0005125705987462756, 8.975562561346351e-5, 0.00015905527192932448, 0.0010320131578478134, 0.0012950984952533199, 0.0015375380216222727, 0.0029761351905843495, 0.004327741481270181, 0.005040231083287649, 0.0057578175748585645, 0.006281441906295089, 0.007615603363283082]","Any[0.004250663153879953, 0.005151950674804842, 0.005412038182053345, 0.005932404769705413, 0.007198015120092404, 0.008350624653597262, 0.010267793143359663, 0.0094165247716636, 0.009961190321830637, 0.009888348903710112, 0.009459804962532103, 0.010041475048714733, 0.010572231336310047, 0.011847254691219911, 0.012091322080577515]",neg_binom,Set{Symbol}(),"(r = 10, n = 1000)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set{Symbol}() || obs_model=neg_binom || obs_params=(r=10, n=1000) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-0.0002167817904679302, 0.0006316859504591341, 0.0008087434092735763, 0.0019847864272870847, 0.0024982222458555968, 0.003764608223804488, 0.0035204293947633395, 0.003253271102767382, 0.0033490751640505327, 0.0037790559636426296, 0.004825842412289109, 0.00659041650917113, 0.006143867987235027, 0.008043551107919407, 0.008575518134661675]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",e5e2befed309f0b8350bfdd28a7d5bd028b6c78f-dirty,"Any[0.014499471116277814, 0.028385773034082434, 0.027600473500605873, 0.016479030261487913, 0.0010002157742870015, -0.0026643805345302487, 0.012980349862366758, 0.0458959862724235, 0.07685297836532647, 0.11078617058407561, 0.14905935831965442, 0.1831773870260269, 0.21227548006180497, 0.23858117753897548, 0.2589782144531645]","Any[0.08078787073517327, 0.20808811905998112, 0.2460603929450022, 0.2800288074586563, 0.32664907706116303, 0.3685025587235712, 0.41354477544368273, 0.4531307010557255, 0.48468441821878944, 0.5079719422586194, 0.5283378450606487, 0.5298110545544271, 0.5336159984151962, 0.5578559803086581, 0.5753503172707028]",poisson,Set{Symbol}(),"(n = 10,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set{Symbol}() || obs_model=poisson || obs_params=(n=10,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-0.021031978884429207, -0.08372538670480231, 0.017773017295610722, 0.13459019262949892, 0.2125580961025796, 0.24888997078150601, 0.2546366700228524, 0.24929862473156317, 0.23956681869339103, 0.23354202865323598, 0.235394566682569, 0.2392013894973161, 0.25079669032226765, 0.26404052718957244, 0.2668773925656224]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",e5e2befed309f0b8350bfdd28a7d5bd028b6c78f-dirty,"Any[0.025183656386208574, 0.03640617470504702, 0.058200244570253204, 0.03138553880142856, 0.015159999728302658, 0.02352726370604649, 0.015020363444803455, 0.038594973103220964, 0.10751405564835773, 0.19942054311197085, 0.30174673739021424, 0.3916783976685517, 0.46464916923762384, 0.5270798672173311, 0.5713497804364381]","Any[0.28286290255948293, 0.42977016334363677, 0.39731695836102654, 0.5011133098124302, 0.7354175966789271, 0.9082185257245915, 0.9451439652919559, 0.9315641200652254, 0.9530395763573818, 0.9894124438956933, 1.0345034334010157, 1.0886031665050122, 1.1315123929290243, 1.1527819330788593, 1.2015156207578388]",poisson,Set{Symbol}(),"(n = 100,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set{Symbol}() || obs_model=poisson || obs_params=(n=100,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-0.11686642650053589, 0.005085753425642203, 0.0711106514056147, 0.24309183543366386, 0.39012808582506064, 0.372454478362884, 0.3401376821742062, 0.3459198768208371, 0.37961284495536, 0.462169704677098, 0.5294339911256039, 0.5981022146070372, 0.6568646975200855, 0.6920311545931117, 0.729508038195213]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",e5e2befed309f0b8350bfdd28a7d5bd028b6c78f-dirty,"Any[0.03195701370130293, 0.10720024853926292, 0.055901811128172454, 0.17741515774313474, 0.06445252542800517, -0.0010340633736986731, 0.1548750257888982, 0.4072709418425718, 0.8269966566796189, 1.4045001228228806, 1.822767564058122, 2.087519000613512, 2.2510202391553538, 2.3467417692794217, 2.3960724521713948]","Any[0.4899078770747487, 0.5044197604782755, 0.5879456751353979, 1.2164311341248026, 1.3967153923274396, 1.3990659083920725, 1.506709203984588, 1.6660456333972893, 1.9889210988698092, 2.450681237075719, 2.780602256581519, 2.9382003662574268, 3.080568983839302, 3.1337786865164206, 3.170323377694931]",poisson,Set{Symbol}(),"(n = 1000,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set{Symbol}() || obs_model=poisson || obs_params=(n=1000,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[0.03514303513734229, 0.08703272930920547, 0.2292553751542109, 0.548431337445337, 0.2976759008575329, 0.24841229182892824, 0.33554864440104726, 0.49718922330399873, 0.8847001848099852, 1.3635633794931592, 1.7271672038983132, 1.924669780714768, 2.063430419701023, 2.1703561183733027, 2.200304292543889]"
