θtrue,utils,dekwargs,param_comb,gitcommit,script,obs_model,obs_params,θprior,path
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[0.0, 0.7317166178444912, 1.4899388816785033, 1.8273878604784781, 2.0868619301152123, 2.3182363693904438, 2.5539285084414223, 2.7449805834685104, 2.9039233048446684, 3.0509689367565334, 3.1980453326119735, 3.295241146898761, 3.386761267361846, 3.455821011980728, 3.536360424155422]","(saveat = 2, save_idxs = 2)","(:S₀, :β)",4ffb0b2bac330f99c76f83fe70c54b9c8faf6bf8-dirty,scripts/increasing-tspan.jl#58,neg_binom,"(r = 10, n = 1000)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=neg_binom || obs_params=(r=10, n=1000) || param_comb=(:S₀, :β) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[0.0, 0.7049801971373258, 1.470649187065252, 1.8263108933253525, 2.0404238791474754, 2.258163338894712, 2.52005619385642, 2.8040870986053905, 3.0185647039524364, 3.240980889103287, 3.441409840288571, 3.6775117195201146, 3.897354009955524, 4.059663621429258, 4.272808589259397]","(saveat = 2, save_idxs = 2)","(:S₀, :β, :α)",4ffb0b2bac330f99c76f83fe70c54b9c8faf6bf8-dirty,scripts/increasing-tspan.jl#58,neg_binom,"(r = 10, n = 1000)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=neg_binom || obs_params=(r=10, n=1000) || param_comb=(:S₀, :β, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[0.0, 0.7421093738029244, 1.4370816219884128, 1.756361018260778, 1.883271583630587, 1.9659237916832508, 2.1643182427270657, 2.4601800490481303, 2.7495749274050056, 2.9969404463665015, 3.1876007682104146, 3.3402826554317913, 3.4734037404449674, 3.5867702551135485, 3.6597896293436873]","(saveat = 2, save_idxs = 2)","(:β, :α)",4ffb0b2bac330f99c76f83fe70c54b9c8faf6bf8-dirty,scripts/increasing-tspan.jl#58,neg_binom,"(r = 10, n = 1000)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=neg_binom || obs_params=(r=10, n=1000) || param_comb=(:β, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[-3.2780722580838526e-16, 0.0008791733526236932, 0.0670603448506626, 0.32778957113825175, 0.5804648799733879, 0.7165735000430771, 0.7654963564480809, 0.799680361755054, 0.8499140078526061, 0.8933310422681113, 0.9429228853320426, 0.9968523235590121, 1.035757670693959, 1.075636371417278, 1.118397722785604]","(saveat = 2, save_idxs = 2)","(:S₀, :α)",5d4741fc44080a9c5d69a651d9f23963fcec89f4,scripts/increasing-tspan.jl#58,poisson,"(n = 10,)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=poisson || obs_params=(n=10,) || param_comb=(:S₀, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[-3.245598234613567e-16, 0.0729116412147812, 0.25860671545871033, 0.579455783421359, 0.8746654450850838, 1.0728077297089262, 1.2019341324838373, 1.2515148401811294, 1.2829585651006077, 1.332212366613981, 1.3592865918281447, 1.3884570753379712, 1.4459242649623194, 1.4576981115269176, 1.4571558596122172]","(saveat = 2, save_idxs = 2)","(:S₀, :β)",2a08ceded5a0094ef0bec102f819a3cb1d4ad27b,scripts/increasing-tspan.jl#58,poisson,"(n = 10,)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=poisson || obs_params=(n=10,) || param_comb=(:S₀, :β) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[-3.246951318924829e-16, 0.07725297247918785, 0.2804938011226135, 0.6123188414915602, 0.8879841555727582, 1.04679069850388, 1.1316219810647403, 1.2337878009873138, 1.313100975810297, 1.3779739769749917, 1.451293465668619, 1.5239145006832422, 1.5891778045419278, 1.6289294153502105, 1.685961244879036]","(saveat = 2, save_idxs = 2)","(:S₀, :β, :α)",2a08ceded5a0094ef0bec102f819a3cb1d4ad27b,scripts/increasing-tspan.jl#58,poisson,"(n = 10,)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=poisson || obs_params=(n=10,) || param_comb=(:S₀, :β, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[-3.278523286187607e-16, 0.09598720768759592, 0.3472260623360321, 0.5618968921970862, 0.7496668994778429, 0.8232502737511891, 0.881936632072124, 0.9769076760541041, 1.069447798079223, 1.18342875917022, 1.2690608049066987, 1.31485452257881, 1.3981229513809634, 1.4446813020674276, 1.4612878241603835]","(saveat = 2, save_idxs = 2)","(:β, :α)",2a08ceded5a0094ef0bec102f819a3cb1d4ad27b,scripts/increasing-tspan.jl#58,poisson,"(n = 10,)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=poisson || obs_params=(n=10,) || param_comb=(:β, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[-2.8199664825478977e-17, 0.09057188363624896, 0.8654274810670863, 1.5215237784645461, 1.797118753597029, 1.9445225910564823, 2.089510729686116, 2.3199085167303988, 2.5108398117211093, 2.6965627413387274, 2.820290299675361, 2.9261114101923957, 2.979732414366994, 3.0623729714616594, 3.0987759355463824]","(saveat = 2, save_idxs = 2)","(:S₀, :α)",5d4741fc44080a9c5d69a651d9f23963fcec89f4,scripts/increasing-tspan.jl#58,poisson,"(n = 100,)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=poisson || obs_params=(n=100,) || param_comb=(:S₀, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[-2.681188604469753e-17, 0.3721614352423343, 1.3029172079399074, 1.902252592436515, 2.2824517055703866, 2.637524681436576, 2.929489654775092, 3.161846694950251, 3.3138294889646267, 3.441140865708336, 3.5074436745715154, 3.5835654473310212, 3.6298265117432105, 3.655621554812414, 3.6643331066770535]","(saveat = 2, save_idxs = 2)","(:S₀, :β)",2a08ceded5a0094ef0bec102f819a3cb1d4ad27b,scripts/increasing-tspan.jl#58,poisson,"(n = 100,)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=poisson || obs_params=(n=100,) || param_comb=(:S₀, :β) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[-2.5923707624997407e-17, 0.36748312884148393, 1.283089294567905, 1.9203527260802773, 2.309509857596762, 2.7082345763507147, 3.050040105476946, 3.3157650144625106, 3.5501700161795755, 3.738636391449004, 3.9365362895940725, 4.091440629423742, 4.210980641638333, 4.319432018469287, 4.429643531292955]","(saveat = 2, save_idxs = 2)","(:S₀, :β, :α)",2a08ceded5a0094ef0bec102f819a3cb1d4ad27b,scripts/increasing-tspan.jl#58,poisson,"(n = 100,)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=poisson || obs_params=(n=100,) || param_comb=(:S₀, :β, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[-2.781108676686017e-17, 0.49427867940980297, 1.291045512333033, 1.8479633025677296, 2.0847689695964324, 2.323503311914481, 2.70007117414228, 2.990342862263781, 3.218336276367351, 3.3614093511448426, 3.482036161722983, 3.561384509807948, 3.646234709614956, 3.6851302320253936, 3.7121924804904696]","(saveat = 2, save_idxs = 2)","(:β, :α)",2a08ceded5a0094ef0bec102f819a3cb1d4ad27b,scripts/increasing-tspan.jl#58,poisson,"(n = 100,)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=poisson || obs_params=(n=100,) || param_comb=(:β, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[0.0, 0.9612111380629165, 2.0556076623333266, 2.6718539744894816, 3.0310833743756223, 3.667209814282068, 4.303399071506023, 4.702327743156989, 4.950043143258179, 5.1152310555579135, 5.211884662907231, 5.309217561542008, 5.32474412809384, 5.414488333652352, 5.438399519531238]","(saveat = 2, save_idxs = 2)","(:S₀, :α)",5d4741fc44080a9c5d69a651d9f23963fcec89f4,scripts/increasing-tspan.jl#58,poisson,"(n = 1000,)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=poisson || obs_params=(n=1000,) || param_comb=(:S₀, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[0.0, 1.3898031386027123, 2.5183164456391367, 3.29853925657014, 4.2873827705229255, 5.058277203369598, 5.337055817858009, 5.500246975048885, 5.599009250198935, 5.666247031715116, 5.701006621860377, 5.734048434784651, 5.776685215184654, 5.799787134086995, 5.808550797356362]","(saveat = 2, save_idxs = 2)","(:S₀, :β)",4ffb0b2bac330f99c76f83fe70c54b9c8faf6bf8-dirty,scripts/increasing-tspan.jl#58,poisson,"(n = 1000,)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=poisson || obs_params=(n=1000,) || param_comb=(:S₀, :β) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[0.0, 1.393144432784459, 2.5060756318703064, 3.2774915127375848, 4.299566582035799, 4.970593731870362, 5.368943661483602, 5.752642229535344, 6.3005619619139726, 6.76561335828625, 7.101011959087772, 7.32609575316994, 7.462830626780104, 7.6430135219119695, 7.741363044758486]","(saveat = 2, save_idxs = 2)","(:S₀, :β, :α)",4ffb0b2bac330f99c76f83fe70c54b9c8faf6bf8-dirty,scripts/increasing-tspan.jl#58,poisson,"(n = 1000,)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=poisson || obs_params=(n=1000,) || param_comb=(:S₀, :β, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[0.0, 1.3168142572643804, 2.4148622508320723, 3.023911695634957, 3.5392721378748258, 4.510155690481462, 5.015257115005453, 5.266372858810827, 5.440935226371486, 5.598399466721296, 5.69557175068991, 5.783560078357505, 5.837700631321551, 5.875707518539479, 5.932331683884668]","(saveat = 2, save_idxs = 2)","(:β, :α)",4ffb0b2bac330f99c76f83fe70c54b9c8faf6bf8-dirty,scripts/increasing-tspan.jl#58,poisson,"(n = 1000,)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=poisson || obs_params=(n=1000,) || param_comb=(:β, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
