α,β,S₀,lab,t,md
0.3,0.8,0.6,peak-intensity,5,1.5409536
0.3,0.8,0.6,growth-rate,5,2.173247
0.3,0.8,0.6,outbreak-size,5,1.4266038
0.3,0.8,0.6,S₀,5,0.28984046
0.3,0.8,0.6,α,5,0.22460909
0.3,0.8,0.6,β,5,0.1318646
0.3,0.8,0.6,rep-number,5,0.36124283
0.3,0.8,0.6,peak-intensity,10,1.9032015
0.3,0.8,0.6,growth-rate,10,2.905735
0.3,0.8,0.6,outbreak-size,10,1.7040846
0.3,0.8,0.6,S₀,10,0.26562214
0.3,0.8,0.6,α,10,0.31693828
0.3,0.8,0.6,β,10,0.21173044
0.3,0.8,0.6,rep-number,10,0.42715502
0.3,0.9,0.6,peak-intensity,3,1.2607162
0.3,0.9,0.6,growth-rate,3,1.5557122
0.3,0.9,0.6,outbreak-size,3,1.2434753
0.3,0.9,0.6,S₀,3,0.28422156
0.3,0.9,0.6,α,3,0.22521639
0.3,0.9,0.6,β,3,0.18235159
0.3,0.9,0.6,rep-number,3,0.38237634
0.3,0.9,0.6,peak-intensity,5,1.5242342
0.3,0.9,0.6,growth-rate,5,2.3718505
0.3,0.9,0.6,outbreak-size,5,1.522927
0.3,0.9,0.6,S₀,5,0.2884474
0.3,0.9,0.6,α,5,0.21588431
0.3,0.9,0.6,β,5,0.17656307
0.3,0.9,0.6,rep-number,5,0.40726888
0.3,0.9,0.6,peak-intensity,10,1.9901927
0.3,0.9,0.6,growth-rate,10,2.8620157
0.3,0.9,0.6,outbreak-size,10,1.5261533
0.3,0.9,0.6,S₀,10,0.2466274
0.3,0.9,0.6,α,10,0.41042715
0.3,0.9,0.6,β,10,0.32334456
0.3,0.9,0.6,rep-number,10,0.49366584
0.3,1.0,0.6,peak-intensity,3,1.343221
0.3,1.0,0.6,growth-rate,3,1.7405913
0.3,1.0,0.6,outbreak-size,3,1.3954945
0.3,1.0,0.6,S₀,3,0.29865384
0.3,1.0,0.6,α,3,0.22319397
0.3,1.0,0.6,β,3,0.24643058
0.3,1.0,0.6,rep-number,3,0.45618755
0.3,1.0,0.6,peak-intensity,5,1.52771
0.3,1.0,0.6,growth-rate,5,2.5769758
0.3,1.0,0.6,outbreak-size,5,1.6381774
