α,β,S₀,lab,t,md
0.2,0.9,0.3,peak-intensity,10,2.3308985
0.2,0.9,0.3,growth-rate,10,2.6936166
0.2,0.9,0.3,outbreak-size,10,1.9406868
0.2,0.9,0.3,S₀,10,0.09467929
0.2,0.9,0.3,α,10,0.36780933
0.2,0.9,0.3,β,10,0.13695884
0.2,0.9,0.3,rep-number,10,0.20692982
0.2,0.9,0.5,peak-intensity,10,1.8698545
0.2,0.9,0.5,growth-rate,10,3.035388
0.2,0.9,0.5,outbreak-size,10,1.4086338
0.2,0.9,0.5,S₀,10,0.30740044
0.2,0.9,0.5,α,10,0.7025968
0.2,0.9,0.5,β,10,0.30962726
0.2,0.9,0.5,rep-number,10,0.71406734
0.2,0.9,0.7,peak-intensity,10,2.938538
0.2,0.9,0.7,growth-rate,10,3.5084667
0.2,0.9,0.7,outbreak-size,10,1.3653667
0.2,0.9,0.7,S₀,10,0.43722332
0.2,0.9,0.7,α,10,1.161472
0.2,0.9,0.7,β,10,0.8337031
0.2,0.9,0.7,rep-number,10,0.88042563
0.2,0.9,0.9,peak-intensity,10,4.019973
0.2,0.9,0.9,growth-rate,10,3.9597008
0.2,0.9,0.9,outbreak-size,10,1.8665079
0.2,0.9,0.9,S₀,10,0.5542698
0.2,0.9,0.9,α,10,1.4632179
0.2,0.9,0.9,β,10,1.1195171
0.2,0.9,0.9,rep-number,10,1.1684879
0.2,1.1,0.1,peak-intensity,10,-3.2085636
0.2,1.1,0.1,growth-rate,10,2.2761598
0.2,1.1,0.1,outbreak-size,10,0.0074485666
0.2,1.1,0.1,S₀,10,0.17783238
0.2,1.1,0.1,α,10,0.06525142
0.2,1.1,0.1,β,10,-0.16722195
0.2,1.1,0.1,rep-number,10,-1.0432345
0.2,1.1,0.3,peak-intensity,10,2.1091225
0.2,1.1,0.3,growth-rate,10,2.866887
0.2,1.1,0.3,outbreak-size,10,1.5453049
0.2,1.1,0.3,S₀,10,0.039693113
0.2,1.1,0.3,α,10,0.44723108
0.2,1.1,0.3,β,10,0.10142744
0.2,1.1,0.3,rep-number,10,0.3117038
0.2,1.1,0.5,peak-intensity,10,2.4146216
0.2,1.1,0.5,growth-rate,10,3.088333
0.2,1.1,0.5,outbreak-size,10,1.3126383
0.2,1.1,0.5,S₀,10,0.38185963
0.2,1.1,0.5,α,10,0.8440392
