α,β,S₀,lab,t,md
0.2,0.8,0.6,peak-intensity,5,1.2505507
0.2,0.8,0.6,growth-rate,5,2.4972787
0.2,0.8,0.6,outbreak-size,5,1.3888007
0.2,0.8,0.6,S₀,5,0.3181002
0.2,0.8,0.6,α,5,0.3904799
0.2,0.8,0.6,β,5,0.120635904
0.2,0.8,0.6,rep-number,5,0.49716842
0.2,0.8,0.6,peak-intensity,10,1.9410557
0.2,0.8,0.6,growth-rate,10,3.1239924
0.2,0.8,0.6,outbreak-size,10,1.3509723
0.2,0.8,0.6,S₀,10,0.32783812
0.2,0.8,0.6,α,10,0.82666683
0.2,0.8,0.6,β,10,0.50588745
0.2,0.8,0.6,rep-number,10,0.72157973
0.2,0.9,0.6,peak-intensity,3,1.205176
0.2,0.9,0.6,growth-rate,3,1.8961833
0.2,0.9,0.6,outbreak-size,3,1.392758
0.2,0.9,0.6,S₀,3,0.32470977
0.2,0.9,0.6,α,3,0.41003653
0.2,0.9,0.6,β,3,0.20108473
0.2,0.9,0.6,rep-number,3,0.54490083
0.2,0.9,0.6,peak-intensity,5,1.3802055
0.2,0.9,0.6,growth-rate,5,2.712979
0.2,0.9,0.6,outbreak-size,5,1.6068224
0.2,0.9,0.6,S₀,5,0.3222711
0.2,0.9,0.6,α,5,0.42386964
0.2,0.9,0.6,β,5,0.20546587
0.2,0.9,0.6,rep-number,5,0.5790425
0.2,0.9,0.6,peak-intensity,10,2.299186
0.2,0.9,0.6,growth-rate,10,3.141345
0.2,0.9,0.6,outbreak-size,10,1.2582254
0.2,0.9,0.6,S₀,10,0.2428892
0.2,0.9,0.6,α,10,0.96389407
0.2,0.9,0.6,β,10,0.60275364
0.2,0.9,0.6,rep-number,10,0.7666058
0.2,1.0,0.6,peak-intensity,3,1.348837
0.2,1.0,0.6,growth-rate,3,2.0541112
0.2,1.0,0.6,outbreak-size,3,1.5373272
0.2,1.0,0.6,S₀,3,0.3226402
0.2,1.0,0.6,α,3,0.42242935
0.2,1.0,0.6,β,3,0.2934379
0.2,1.0,0.6,rep-number,3,0.60059065
0.2,1.0,0.6,peak-intensity,5,1.5111428
