t  ,free            ,sd   ,SIG
7  ,"(:S₀, :β)"     ,40.0 ,0.9443786936245979
8  ,"(:S₀, :β)"     ,40.0 ,0.6894618711608286
9  ,"(:S₀, :β)"     ,40.0 ,0.5258036446116426
10 ,"(:S₀, :β)"     ,40.0 ,0.5290731568739316
11 ,"(:S₀, :β)"     ,40.0 ,0.6068778154008327
12 ,"(:S₀, :β)"     ,40.0 ,0.6967885259428689
13 ,"(:S₀, :β)"     ,40.0 ,0.7541274079372325
14 ,"(:S₀, :β)"     ,40.0 ,0.7657823188436464
15 ,"(:S₀, :β)"     ,40.0 ,0.774661679122195
16 ,"(:S₀, :β)"     ,40.0 ,0.7779043706819186
17 ,"(:S₀, :β)"     ,40.0 ,0.7763876295622866
18 ,"(:S₀, :β)"     ,40.0 ,0.7792313834431892
19 ,"(:S₀, :β)"     ,40.0 ,0.7504076633706707
20 ,"(:S₀, :β)"     ,40.0 ,0.7583002431710706
21 ,"(:S₀, :β)"     ,40.0 ,0.755501170506524
22 ,"(:S₀, :β)"     ,40.0 ,0.7439816885367776
23 ,"(:S₀, :β)"     ,40.0 ,0.7334250739082888
24 ,"(:S₀, :β)"     ,40.0 ,0.7314321034334154
25 ,"(:S₀, :β)"     ,40.0 ,0.7410411126826258
26 ,"(:S₀, :β)"     ,40.0 ,0.7575396021934854
27 ,"(:S₀, :β)"     ,40.0 ,0.7563065170662144
28 ,"(:S₀, :β)"     ,40.0 ,0.7679145459943244
29 ,"(:S₀, :β)"     ,40.0 ,0.7686502948822578
30 ,"(:S₀, :β)"     ,40.0 ,0.7747173982433898
1  ,"(:β, :α)"      ,40.0 ,-1.0508948312254463e-16
2  ,"(:β, :α)"      ,40.0 ,0.30615864327861936
3  ,"(:β, :α)"      ,40.0 ,0.6817005120350921
4  ,"(:β, :α)"      ,40.0 ,0.9481971518175484
5  ,"(:β, :α)"      ,40.0 ,1.08316510501161
6  ,"(:β, :α)"      ,40.0 ,1.044557696231645
7  ,"(:β, :α)"      ,40.0 ,0.7881371339322814
8  ,"(:β, :α)"      ,40.0 ,0.4791492172732366
9  ,"(:β, :α)"      ,40.0 ,0.2967072167973764
10 ,"(:β, :α)"      ,40.0 ,0.2546158478077254
11 ,"(:β, :α)"      ,40.0 ,0.2671980597699295
12 ,"(:β, :α)"      ,40.0 ,0.30450807442872785
13 ,"(:β, :α)"      ,40.0 ,0.33512226960596886
