θtrue,gitcommit,sig-α,sig-β,obs_model,known,obs_params,path,sig-S₀
"(S₀ = 0.6, β = 1.25, α = 0.2)",1adc3561bc2b62f41ba0c234cf67bd9746c3cc85,missing,"Any[0.3334605203545344, 0.4971063572024628, 0.501172901579697, 0.48959037308874886, 0.5340660433400826, 0.7046855743945862, 0.9828109740521981, 1.3617413876969708, 1.7753087273453043, 2.1184188270019675, 2.3463558075013426, 2.545775682098552, 2.732588854556264, 2.8604473913202093, 2.9519843129543637, 3.045990658294414, 3.115843085462396, 3.179463227356356, 3.2206130386679073, 3.2695686185710353, 3.292244905992158, 3.3404190957529094, 3.368023366781672, 3.387152013649348, 3.3895670641992606, 3.4121152638832872, 3.413530750192354, 3.4338000956524573, 3.4205277653250583, 3.4390578274079773]",poisson,Set([:α]),"(n = 1000,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set([:α]) || obs_model=poisson || obs_params=(n=1000,) || θtrue=(S₀=0.6, β=1.25, α=0.2)_#1.jld2","Any[-0.039739047961176756, 0.021818770285474746, 0.04252216497313412, 0.057595743267624434, 0.13029593865408623, 0.32220784757835097, 0.6726788501647736, 1.094795163293096, 1.5306268800475753, 1.9116302358776907, 2.1592410724180153, 2.3712852323328546, 2.542602260647238, 2.647454955103624, 2.7377439189178565, 2.8080750656464857, 2.866931573709953, 2.897315356357699, 2.9229244322825494, 2.9547896836367964, 2.989727525611717, 3.010518956384252, 2.996581084995091, 3.0272732253054, 3.0324488786681285, 3.0222593996636866, 3.02787345181172, 3.0294577129166647, 3.0365294786747494, 3.0493241241410294]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",2d7f2ec3e4bc7483edc8bd7b280b4f01a2d81771-dirty,"Any[-0.00046136381584793875, -0.001601602934651812, 0.003056861124500967, 0.01315107181346616, 0.02351359013521502, 0.02658221027711511, 0.03021470845349513, 0.0349683653765245, 0.03973804305641279, 0.04845055018594302, 0.05462003775404097, 0.06864362218665844, 0.0872403506442794, 0.11106610321016376, 0.13837575812882183, 0.18358337176942396, 0.21543750685193053, 0.2529481782884758, 0.3223715980819303, 0.3418075381961655, 0.38035481143942507, 0.4208814692252773, 0.4303809883272429, 0.4812944106573561, 0.4985123191039396, 0.5125357721624512, 0.5274140217206096, 0.548850397286363, 0.5790535895041419, 0.5973441657718915]",missing,poisson,Set([:β]),"(n = 10,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set([:β]) || obs_model=poisson || obs_params=(n=10,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-0.0006889041384731655, 0.0008073706588748423, 0.020918093938626443, 0.10943674377482644, 0.2894981105411905, 0.49437632466993037, 0.6559289587673582, 0.7671967053363387, 0.8101192684542184, 0.827579351451623, 0.8276297983482591, 0.8091683952484957, 0.8006564750764331, 0.7942651492134544, 0.7966185172477158, 0.8081486451049001, 0.8336622659826631, 0.8271683671423922, 0.8506333880754555, 0.86920077527598, 0.8845274513829722, 0.9044261323321027, 0.9494328054780857, 0.9377669463207702, 0.9369760008749001, 0.957800977213025, 0.9607434789220748, 0.9852193361299967, 0.9863722664842337, 0.9924456529407975]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",1adc3561bc2b62f41ba0c234cf67bd9746c3cc85,"Any[-0.0005030256517956103, -0.0011076439987098253, 0.0020845503636721086, 0.013213841233986256, 0.023055134088351668, 0.027066606745138652, 0.030537312276684724, 0.035277163228318795, 0.03961605438613831, 0.04521545974098411, 0.05637872796489961, 0.06692905508444745, 0.08653499786862394, 0.11513627598852065, 0.14255380516588081, 0.18493363665502474, 0.21444618651847633, 0.26477333961139415, 0.3003970353785182, 0.34879764727971996, 0.37835945302393004, 0.41704631901552447, 0.4579528498668863, 0.46451545567315605, 0.4941471362074248, 0.5197789078941806, 0.5322192753568527, 0.5471131255552509, 0.5793634087141261, 0.5808057170845269]",missing,poisson,Set([:β]),"(n = 10,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set([:β]) || obs_model=poisson || obs_params=(n=10,) || θtrue=(S₀=0.6, β=1.25, α=0.2)_#1.jld2","Any[0.0014355993703174708, 0.00019944379599871293, 0.023147833030273735, 0.10569960336233646, 0.28805086990835244, 0.49207834826437663, 0.6428186819204597, 0.7621442444260061, 0.8146094773189226, 0.8282682103505893, 0.8171497042782933, 0.8022719734547938, 0.7937538675241039, 0.7866162698015551, 0.8048130701640058, 0.8104417773415433, 0.8152607681189388, 0.821787691817022, 0.8711260811183125, 0.8742551486226384, 0.8851535244934483, 0.899861684379916, 0.9170364279147183, 0.9423799025511206, 0.9488377535774501, 0.9528082394315861, 0.9649145284128137, 0.9823173080102301, 0.971121604995174, 0.9796064638282129]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",2d7f2ec3e4bc7483edc8bd7b280b4f01a2d81771-dirty,"Any[-0.0015440959733940113, 0.006601820613844291, 0.01837251735879005, 0.016199121300658884, 0.02123065932088536, 0.028061918725947523, 0.03729659567121057, 0.04741920897985216, 0.06466929659848836, 0.11228361308447343, 0.20608718622959868, 0.3446148185427953, 0.4908392657187962, 0.6660516717440724, 0.8169557945466935, 0.9659526494830614, 1.0462029143791158, 1.1512262072748456, 1.2573375303113028, 1.3062637571859024, 1.3764746265244507, 1.4265134259754875, 1.4750201519248005, 1.515110541682217, 1.5578552085834432, 1.5693981813121654, 1.5930479904002206, 1.6203559514317305, 1.6503116941501585, 1.6858281536936404]",missing,poisson,Set([:β]),"(n = 100,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set([:β]) || obs_model=poisson || obs_params=(n=100,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[0.0050382258739524845, 0.1045159419367591, 0.4722839312498694, 0.9158297030983799, 1.14307230482526, 1.2316239527457398, 1.2372411649666673, 1.2046213718620598, 1.1680213975016613, 1.1655642553076646, 1.1943153855900517, 1.287470776337758, 1.3915664736039874, 1.5217754932254757, 1.6123995816982573, 1.6876932794308326, 1.783913871506344, 1.843002914105932, 1.8937097617964471, 1.935142734308417, 1.9756588444834269, 2.009300696951434, 2.027136434395507, 2.0665684638461244, 2.052592667499868, 2.0846467272962776, 2.120081919260908, 2.1277212684176434, 2.110257913201379, 2.1280241236230717]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",1adc3561bc2b62f41ba0c234cf67bd9746c3cc85,"Any[-0.0012652892355555436, 0.006574868666487271, 0.018399057309857608, 0.016466074748731664, 0.022127147091738762, 0.028836730859516387, 0.03726036304773926, 0.04356607392388218, 0.06214763283123475, 0.1109882967586445, 0.20290619634595838, 0.34434136228763934, 0.5117300722325543, 0.6850688049000518, 0.8199562169983019, 0.942917269175054, 1.0601685527907423, 1.170375367318676, 1.2296003906173871, 1.317949663604802, 1.376099666051465, 1.4088870211554634, 1.4814906216720336, 1.5163324721568756, 1.544210521613486, 1.5620307596953285, 1.614342153434722, 1.6184823922952514, 1.6407002825624963, 1.6586718003327594]",missing,poisson,Set([:β]),"(n = 100,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set([:β]) || obs_model=poisson || obs_params=(n=100,) || θtrue=(S₀=0.6, β=1.25, α=0.2)_#1.jld2","Any[0.008389772621864208, 0.11191663899928225, 0.4812222014523225, 0.9149032741982094, 1.1421529444940777, 1.23307133783854, 1.2342185218882187, 1.2044521120269711, 1.1743221343644985, 1.1725649560848603, 1.2052416756499984, 1.2845952137038597, 1.3991613791796345, 1.4988468966030928, 1.5903337339913353, 1.718084904505274, 1.7720623059563416, 1.8371909994759332, 1.880668195951141, 1.9371325994042665, 1.9760621107367609, 2.01154228940704, 2.0475521770403082, 2.048705010774521, 2.0671357257977325, 2.0867991182573884, 2.1113196694656295, 2.1158578634498917, 2.1318654191381263, 2.1291192639167336]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",2d7f2ec3e4bc7483edc8bd7b280b4f01a2d81771-dirty,"Any[0.0030274864170544147, 0.015044135167521327, 0.020146568647318237, 0.027600235780234197, 0.03371782695464277, 0.04928265590063668, 0.07044143487076786, 0.17027046997311912, 0.4176098692470239, 0.7741894904650459, 1.1056710717340437, 1.3811410184498591, 1.6225690948747924, 1.8204295653984628, 1.9818481795756233, 2.1270024652280775, 2.248405946076661, 2.3723863947243937, 2.4224489684667163, 2.526850959944231, 2.599810300590018, 2.63645243725126, 2.6797307044629024, 2.743444747544066, 2.7716349535237117, 2.7847793218522545, 2.8463094296415496, 2.8501262576325708, 2.8773542452933754, 2.871534697298375]",missing,poisson,Set([:β]),"(n = 1000,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set([:β]) || obs_model=poisson || obs_params=(n=1000,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[0.1852969297235319, 0.8993143925506971, 1.2735229557724073, 1.343787916774574, 1.3303100743754623, 1.302679962691663, 1.28626429368714, 1.3261165362388034, 1.5237431254655973, 1.8122261532560338, 2.0570432540886627, 2.3078714607501483, 2.4951373644839965, 2.672678086626996, 2.7940570954231574, 2.8806449248166537, 2.971453270591172, 3.0249868117970466, 3.0726584585759715, 3.1360912447023654, 3.174548117381331, 3.209349077953094, 3.230750922298634, 3.260057966374366, 3.2655820976716288, 3.289039848808899, 3.3006146172354436, 3.3213691981367126, 3.334059888635048, 3.3212200318966962]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",1adc3561bc2b62f41ba0c234cf67bd9746c3cc85,"Any[0.004162114464573618, 0.01371504404616163, 0.019184774886470374, 0.026997978124282816, 0.03499983447875873, 0.045605188395691366, 0.07718184901485753, 0.15862641927069324, 0.42276115731963365, 0.7818541457439293, 1.1065833944255337, 1.3748512858168103, 1.616113025009861, 1.8357797874998694, 1.9899197233879888, 2.1286790431653406, 2.241302475425259, 2.3654025889642494, 2.445712761678948, 2.525684697164016, 2.576623768364616, 2.6459788668323303, 2.6702290639923096, 2.730255330940437, 2.7866184560353786, 2.804504932108092, 2.822917737369692, 2.8553058397037594, 2.850824073165859, 2.8936145333738703]",missing,poisson,Set([:β]),"(n = 1000,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set([:β]) || obs_model=poisson || obs_params=(n=1000,) || θtrue=(S₀=0.6, β=1.25, α=0.2)_#1.jld2","Any[0.1806551189967336, 0.9047340169923777, 1.2761759693711958, 1.3432800886239413, 1.3283634240040658, 1.304129734936191, 1.2876158074479012, 1.3337040001997698, 1.5277285462706247, 1.8101157230549023, 2.0778427412957354, 2.3101968890082456, 2.4930527685900374, 2.6419551632839986, 2.7630356534945393, 2.874355343807516, 2.9788681182494328, 3.0336241170373297, 3.0922171388888127, 3.1429541941984884, 3.197146877008242, 3.2071939818277757, 3.2458667449782355, 3.260204754504585, 3.288405121100736, 3.28365985787962, 3.3208457501773765, 3.325704353234778, 3.3208177872825364, 3.325316022824276]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",2d7f2ec3e4bc7483edc8bd7b280b4f01a2d81771-dirty,"Any[0.0016763591107779828, 0.007519064602199452, 0.009057016793033352, 0.004792333755623428, -0.002745683280107891, -0.010048676404590926, -0.013798587494460801, -0.017149412080421592, -0.024464151121905458, -0.03581773660807149, -0.03588895498484861, -0.02358446087518858, -0.01260849933087583, 0.00710987170349329, 0.03205642120660178, 0.054244192123021444, 0.07324811688480795, 0.09684234279618031, 0.12329487085583318, 0.13565113395396655, 0.16526727943874783, 0.1870155264728623, 0.20524744950697085, 0.21909505743621302, 0.2470048059216554, 0.26358766672111217, 0.2947056823671608, 0.29663321813209065, 0.30483950066935767, 0.3334398192703834]","Any[0.005262712401795608, 0.07703411771403713, 0.177539419197005, 0.25098949237582147, 0.2839917393185291, 0.2999767282272726, 0.30815919918075885, 0.3058526082223724, 0.33035258554344715, 0.35942941250586136, 0.4193296292057028, 0.46576628957318017, 0.5102018892960994, 0.5433185320820163, 0.5755387445207559, 0.6041797331812533, 0.6300826693848096, 0.6404102764460318, 0.6586447499110794, 0.6614491535296076, 0.6717732857136814, 0.6882758208824223, 0.6933416876473241, 0.6910541830414398, 0.7008251935814221, 0.7102211328888959, 0.717250370813699, 0.7337844780024967, 0.7374223321783786, 0.7432744638874225]",poisson,Set{Symbol}(),"(n = 10,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set{Symbol}() || obs_model=poisson || obs_params=(n=10,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-0.003952447247236387, -0.02300391862120866, -0.07927731809379532, -0.09188553421744991, -0.04879782884263222, 0.0014634061650572812, 0.052826477181986436, 0.11491768048203646, 0.15900921823115016, 0.20166100925697275, 0.23837352367489933, 0.25069628328308635, 0.2613428259143325, 0.2595906089576572, 0.25487852238408387, 0.2491853301897866, 0.24007924610745193, 0.23393166719131644, 0.23322557810473923, 0.22897086983742157, 0.23894091162694195, 0.2397777137984427, 0.24922029392964115, 0.25746950633879734, 0.2623095995296324, 0.27878425318051087, 0.2745969459067617, 0.29154056964075836, 0.3027339047929313, 0.31087304742773997]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",1adc3561bc2b62f41ba0c234cf67bd9746c3cc85,"Any[0.001272465929688075, 0.007263056234249288, 0.009071826019815384, 0.005275937090047232, -0.0030768690817435875, -0.009908692066877185, -0.013365735092736343, -0.018804507204834488, -0.022553612599608443, -0.029412717655570055, -0.03288555927491501, -0.027022011598871336, -0.018084301564444603, 0.002631032283085953, 0.030498368699526587, 0.05504555817677925, 0.07530302350802877, 0.09781783455856068, 0.12501054515267723, 0.14664815523465022, 0.1629963263740216, 0.18928192114042044, 0.206195581726209, 0.22413002287854625, 0.2534391208289534, 0.2624694717621118, 0.28815366301809886, 0.2914825496624402, 0.3059110187344819, 0.33355967108153056]","Any[0.0063185362233522495, 0.0742615597110251, 0.1733328823452161, 0.24921655479262245, 0.29123552301110095, 0.2981904376976668, 0.30842945388565124, 0.306976901738528, 0.3363272627756892, 0.3672892812869427, 0.41500634808882514, 0.46666624091376835, 0.498600555694808, 0.531365419541953, 0.5763333407772762, 0.5981717601251246, 0.6268476893275241, 0.6390532239312738, 0.6639522902366233, 0.6713929074174394, 0.676657892979196, 0.6946664803515641, 0.6962803851701207, 0.6968141920023034, 0.7121835566373451, 0.7197110506063608, 0.7152149366131562, 0.7289717180997877, 0.7358338865981993, 0.7437355901849844]",poisson,Set{Symbol}(),"(n = 10,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set{Symbol}() || obs_model=poisson || obs_params=(n=10,) || θtrue=(S₀=0.6, β=1.25, α=0.2)_#1.jld2","Any[-0.005532663083798109, -0.027433236105206846, -0.0792130771655808, -0.09593533762508778, -0.05557880202877675, -0.0017297796289546398, 0.049109027764994165, 0.11472496682981632, 0.1613415409996904, 0.20827697419932384, 0.23030929820464885, 0.25259451575455727, 0.26231801232944235, 0.25870448787019323, 0.2495430515631765, 0.24752149173441107, 0.23689068544272923, 0.23117125467519373, 0.23598552689139624, 0.23510171309076267, 0.23376806555981874, 0.23087187944472906, 0.2464354528876266, 0.2586851706306115, 0.25864053065579956, 0.26691225197944013, 0.27666387494908623, 0.2864364748877507, 0.3050849358079539, 0.3007288198892223]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",2d7f2ec3e4bc7483edc8bd7b280b4f01a2d81771-dirty,"Any[0.005962693168550531, -0.0005208346187196202, -0.022157100668387966, -0.029957469649416965, -0.024616869402215143, -0.023004804623459302, -0.028065371988608454, -0.04406293982712928, -0.035264827811417605, -0.005739336940577728, 0.007652555085894687, 0.014003585870271711, 0.024182230739762212, 0.04056968822400528, 0.07868183458969003, 0.12111488524063445, 0.1863923993983717, 0.23664552822298102, 0.3036379431011585, 0.35352892254823265, 0.39678346376722756, 0.4488405780476976, 0.4966049385852133, 0.5643667636627583, 0.586620424599567, 0.606718157671976, 0.6562553918233882, 0.6785256259279067, 0.717297711241814, 0.7373005164545043]","Any[0.07426841006559116, 0.2859897444199495, 0.38983681015531746, 0.40867303869456045, 0.3971504908677216, 0.3939021480992041, 0.423929414078264, 0.5359154964307494, 0.7043711942896433, 0.8545861780091529, 0.9701469715524247, 1.0249815187539644, 1.033565731372902, 1.002752368053957, 0.9995644034782973, 1.0091067505075713, 1.0090762058439346, 1.001735199528201, 1.0459888391637928, 1.066501368494516, 1.0751037862667447, 1.101329179595816, 1.121118715083749, 1.1237033304448523, 1.1378076872043483, 1.1643375506686262, 1.1799806888587714, 1.2012863046511812, 1.19053694171092, 1.208471992202121]",poisson,Set{Symbol}(),"(n = 100,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set{Symbol}() || obs_model=poisson || obs_params=(n=100,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-0.02510980731335122, -0.09518360359810585, -0.05721917646470765, -0.015746905022695205, -0.0008703394487609351, 0.017122872577772428, 0.10023773894748515, 0.2196406938795275, 0.3415291713169754, 0.3892238230946972, 0.37021648550950575, 0.331216225828245, 0.30578399420536745, 0.2914581090551042, 0.29166546915671604, 0.3219934041229237, 0.34806231091332895, 0.38703939133931514, 0.42120811638690003, 0.4545802931830125, 0.4834205102937027, 0.5163468369838223, 0.5499456698662295, 0.5759094000168223, 0.5927852208406715, 0.6165316218725864, 0.6353958061804023, 0.6572351099068547, 0.6777221391641378, 0.6983300732571083]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",1adc3561bc2b62f41ba0c234cf67bd9746c3cc85,"Any[0.005745721649642217, -0.0012079357940267335, -0.021333322889633428, -0.028727212782430615, -0.024108336381057298, -0.023308337992395466, -0.026534898495060535, -0.042268443488527575, -0.031539581429934765, -0.003723063911382809, 0.012274925671109632, 0.01112798145868861, 0.027734165812827137, 0.04562316215375572, 0.08115832547550114, 0.12744896184468485, 0.16981385872440147, 0.23754193614376665, 0.30773470397215136, 0.36423697526945836, 0.4067447372562232, 0.46369437599648416, 0.4954207832002021, 0.5377559655624148, 0.589630933830331, 0.6189717573670458, 0.6615314840132711, 0.6769103066949537, 0.7095753945290666, 0.732165351690529]","Any[0.06499643129930381, 0.2858947984003873, 0.38942505720295056, 0.4049095413293388, 0.3933846474474751, 0.38399269695584154, 0.4284352766401855, 0.5436223474907161, 0.7008505399473586, 0.8619429588919527, 0.9736926904810945, 1.022524243107389, 1.0225366072869553, 1.0009103128927335, 1.0043834418769337, 1.0057503183366339, 1.0138169904569103, 1.0164255073790578, 1.0357914345823995, 1.0551199489301641, 1.0843795364693973, 1.0999406973936852, 1.1096788461564115, 1.128961072092421, 1.1549049343754185, 1.1766716941596504, 1.171623974760091, 1.198766861964847, 1.1930186153294187, 1.2293275510798565]",poisson,Set{Symbol}(),"(n = 100,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set{Symbol}() || obs_model=poisson || obs_params=(n=100,) || θtrue=(S₀=0.6, β=1.25, α=0.2)_#1.jld2","Any[-0.025151845285030443, -0.09588505825211321, -0.05719616383746606, -0.01328144362581683, -0.0032641477837840396, 0.01708115391571572, 0.09227266259415097, 0.22640678544378534, 0.3395110015962232, 0.3855993986744498, 0.3626357571233751, 0.3271348467905763, 0.3051481311349717, 0.303263092987666, 0.2886776329655695, 0.323540278222944, 0.3552490073208778, 0.3757024697112339, 0.3990805332761838, 0.4477061373315408, 0.47004651866334296, 0.5210644369381839, 0.5408220589127407, 0.5734471444010208, 0.597405690149685, 0.6284225780049506, 0.6099688734864213, 0.6623303771448807, 0.6743263941309549, 0.7022943433804688]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",2d7f2ec3e4bc7483edc8bd7b280b4f01a2d81771-dirty,"Any[-0.008600009756750963, -0.033391051985214665, -0.027350101317546352, -0.013511426270546616, -0.011721586559397349, -0.03812796620962824, -0.01778826188454238, 0.00811587900296331, -0.020779612875760644, -0.016355206261892852, 0.043265924423600395, 0.1730311286259658, 0.3289236509149608, 0.48398046896194247, 0.6490238254287002, 0.7587958642463656, 0.8565553653785813, 1.0204013047254246, 1.1507101599956624, 1.2547409143320074, 1.3346078361425764, 1.5223094865623092, 1.684790935830302, 1.8019700233628966, 1.8702573300634413, 1.985905150907867, 2.128173864181173, 2.209009729811366, 2.288522310740674, 2.3848744794321073]","Any[0.3201151787757324, 0.4476127742307777, 0.4527756347983136, 0.4576009951684657, 0.4837236868687479, 0.6344533930274491, 0.8944842209427228, 1.2110414938314498, 1.3394288362088216, 1.3103360132213338, 1.305517291585151, 1.353174287988665, 1.4260518715226917, 1.4966499580884816, 1.5888354460206382, 1.6857858518597655, 1.7531254324721959, 1.8009483320416904, 1.9142334702429606, 2.012223623071173, 2.115623655104484, 2.1988418357758084, 2.3519603977012515, 2.4700970594811893, 2.521211644534422, 2.6086617918488084, 2.643834786399343, 2.763101314488348, 2.851874739370105, 2.8742001745864476]",poisson,Set{Symbol}(),"(n = 1000,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set{Symbol}() || obs_model=poisson || obs_params=(n=1000,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-0.0712749202444196, -0.006937900361068087, 0.0044679836601913036, 0.021761232900264257, 0.051513690447264546, 0.2051764259671384, 0.41979240615335695, 0.4985743424774684, 0.4370280845774531, 0.3763769838029091, 0.387995140275016, 0.4250598633772279, 0.5241448994984327, 0.6496774722586952, 0.7380504768411185, 0.8540738079208954, 0.9744799020349497, 1.0199933561877286, 1.133403087838517, 1.2598265117934453, 1.3865320232751694, 1.4578956640097112, 1.5522881996579294, 1.6503836509161218, 1.7867454221118824, 1.8722000332640132, 2.0091953647238525, 2.016980099254741, 2.0933365857398005, 2.181184741575537]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",1adc3561bc2b62f41ba0c234cf67bd9746c3cc85,"Any[-0.008520404369290281, -0.03411707232468085, -0.029442912969305714, -0.0152854293016339, -0.013841770456977383, -0.042282791980116245, -0.02737380698027148, 0.007314178726626088, -0.015573888861720241, -0.02423669642383552, 0.04216890358497522, 0.1667734448054571, 0.32700488762990537, 0.4737443876423211, 0.6231556919777409, 0.7601359983574761, 0.8660636138011709, 0.9837413015061746, 1.128628826579496, 1.2478922063056583, 1.3876850048685518, 1.547206737934826, 1.6281838763746452, 1.7737178040616268, 1.8761495836840572, 1.938057737253228, 2.1053294434275127, 2.1398267150091654, 2.2963736560015837, 2.3599147614664227]","Any[0.31813580145886133, 0.44934991581350675, 0.45495046540821904, 0.45595857451093236, 0.4884597005780266, 0.614356694017997, 0.8980350054918493, 1.2047335215989867, 1.3355478237457228, 1.309442223211149, 1.3130991765144193, 1.3394558416139817, 1.4261575055073223, 1.5235613448395355, 1.5983127242336517, 1.6930484667665031, 1.7606054885188844, 1.8361789342749966, 1.9266282092438705, 2.0013555186669687, 2.1509415017908626, 2.200120942582244, 2.278189645442164, 2.372106125411428, 2.50796728301948, 2.6020114339489004, 2.6855127851457934, 2.771577390675641, 2.812149891608142, 2.8649480602103123]",poisson,Set{Symbol}(),"(n = 1000,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set{Symbol}() || obs_model=poisson || obs_params=(n=1000,) || θtrue=(S₀=0.6, β=1.25, α=0.2)_#1.jld2","Any[-0.06254625350298917, -0.006114094720341473, 0.006640925896718383, 0.017762834407898224, 0.07143797654351952, 0.2004652529921373, 0.4219113049481486, 0.5066018893056979, 0.43831615237859806, 0.37892805551185416, 0.37988073155198504, 0.4455569602820311, 0.5392374969644026, 0.6765886013960218, 0.7402047036981463, 0.8671356520930933, 0.9578922846887533, 1.0359329824879009, 1.1846939108765646, 1.2392519856090094, 1.3368144384666023, 1.4931441733685211, 1.587308182767708, 1.6712049983798876, 1.7968692670378863, 1.8670032504281477, 1.939264154237957, 2.063342217169339, 2.1212645865991506, 2.1416040852527747]"
